Dross  n. 1 rubbish. 2 a scum from melted metals. B impurities. [old english]
Dolly  n. (pl. -ies) 1 child's name for a doll. 2 movable platform for a cine-camera etc. 3 easy catch in cricket.
Nones  n.pl. Day of the ancient roman month (the 7th day of march, may, july, and october, the 5th of other months). [latin nonus ninth]
Leech  n. 1 bloodsucking worm formerly much used medically. 2 person who sponges on others. [old english]
Hinny  n. (pl. -ies) offspring of a female donkey and a male horse. [greek hinnos]
Forgo  v. (also forego) (-goes; past -went; past part. -gone) go without; relinquish. [old english]
Bigot  n. Obstinate believer who is intolerant of others.  bigoted adj. Bigotry n. [french]
Davit  n. Small crane on board ship, esp. For moving or holding a lifeboat. [french diminutive of david]
Hácek  n. Diacritic (  ) placed over a letter to modify its sound in some languages. [czech, diminutive of hák hook]
Crypt  n. Vault, esp. Beneath a church, used usu. As a burial-place. [latin crypta from greek kruptos hidden]
Shire  n. County. [old english]
Ardor  n. (brit. Ardour) zeal, enthusiasm, passion.
Owner  n. Person who owns something.  ownership n.
Aspic  n. Savoury jelly used esp. To contain game, eggs, etc. [french, = *asp, suggested by the colours of the jelly]
Eland  n. (pl. Same or -s) large african antelope. [dutch]
Coiff  v. (usu. As coiffed adj.) Dress or arrange (the hair). [french coiffer]
Bairn  n. Scot. & n.engl. Child. [old english: related to *bear1]
Fives  n. Game in which a ball is hit with a gloved hand or bat against the walls of a court.
Ivory  n. (pl. -ies) 1 hard substance of the tusks of an elephant etc. 2 creamy-white colour of this. 3 (usu. In pl.) A article made of ivory. B slang thing made of or resembling ivory, esp. A piano key or a tooth. [latin ebur]
Aitch  n. The letter h. [french ache]
Photo  n. (pl. -s) = *photograph n. [abbreviation]
Calix  var. Of *calyx.
Hubby  n. (pl. -ies) colloq. Husband. [abbreviation]
Serge  n. Durable twilled worsted etc. Fabric. [french sarge, serge]
Reset  v. (-tt-; past and past part. Reset) set (a bone, gems, a clock etc.) Again or differently.
Ocean  n. 1 large expanse of sea, esp. Each of the main areas called the atlantic, pacific, indian, arctic, and antarctic oceans. 2 (often in pl.) Colloq. Very large expanse or quantity.  oceanic adj. [greek okeanos]
Valor  n. (brit. Valour) courage, esp. In battle.  valorous adj. [latin valeo be strong]
Aught  n. Archaic anything. [old english]
Fraud  n. 1 criminal deception. 2 dishonest artifice or trick. 3 person or thing that is not what it claims to be. [latin fraus fraud-]
Fusil  n. Hist. Light musket. [latin focus fire]
Weeds  n.pl. (in full widow's weeds) archaic deep mourning worn by a widow. [old english, = garment]
Frier  var. Of *fryer.
Bloat  v. 1 inflate, swell. 2 (as bloated adj.) Inflated with pride, wealth, or food. 3 cure (a herring) by salting and smoking lightly. [old norse]
Motel  n. Roadside hotel for motorists. [from motor hotel]
Ousel  var. Of *ouzel.
Lager  n. A kind of light effervescent beer. [german, = store]
Cadet  n. Young trainee for the armed services or police force.  cadetship n. [french, ultimately from latin caput head]
Tiara  n. 1 jewelled ornamental band worn on the front of a woman's hair. 2 three-crowned diadem worn by a pope.  tiaraed adj. [latin from greek]
Tibia  n. (pl. Tibiae) anat. Inner of two bones extending from the knee to the ankle.  tibial adj. [latin]
Cynic  n. 1 person with a pessimistic view of human nature. 2 (cynic) one of a school of ancient greek philosophers showing contempt for ease and pleasure.  cynical adj. Cynically adv. Cynicism n. [greek kuon dog]
Cedar  n. 1 spreading evergreen conifer. 2 its hard fragrant wood. [greek kedros]
Abide  v. (-ding; past abided or rarely abode) 1 (usu. In neg.) Tolerate, endure (can't abide him). 2 (foll. By by) a act in accordance with (abide by the rules). B keep (a promise). 3 archaic remain, continue. [old english a- intensive prefix, *bide]
Wrist  n. 1 joint connecting the hand with the arm. 2 part of a garment covering this. [old english]
Sonny  n. Colloq. Familiar form of address to a young boy.
Ghoul  n. 1 person morbidly interested in death etc. 2 evil spirit or phantom. 3 spirit in muslim folklore preying on corpses.  ghoulish adj. Ghoulishly adv. [arabic]
Batik  n. 1 method of dyeing textiles by applying wax to parts to be left uncoloured. 2 cloth so treated. [javanese, = painted]
Ozone  n. 1 chem. Unstable form of oxygen with three atoms in a molecule, having a pungent odour. 2 colloq. A invigorating air at the seaside etc. B exhilarating influence. [greek ozo smell (v.)]
Truth  n. (pl. Truths) 1 quality or state of being true. 2 what is true.  in truth literary truly, really. [old english: related to *true]
Pansy  n. (pl. -ies) 1 cultivated plant with flowers of various rich colours. 2 colloq. Offens. A effeminate man. B male homosexual. [french pensée thought, pansy]
Angst  n. Anxiety, neurotic fear; guilt, remorse. [german]
Meson  n. Elementary particle believed to help hold nucleons together in the atomic nucleus. [from *meso-]
Track events  n.pl. Running-races as opposed to jumping etc.
Guilt  n. 1 fact of having committed a specified or implied offence. 2 feeling of having done wrong. [old english]
Organ  n. 1 a musical instrument having pipes supplied with air from bellows and operated by keyboards and pedals. B instrument producing similar sounds electronically. C harmonium. 2 a part of an animal or plant body serving a particular function (vocal organs; digestive organs). B esp. Joc. Penis. 3 medium of communication, esp. A newspaper representing a party or interest. [greek organon tool]
Adopt  v. 1 legally take (a person) into a relationship, esp. Another's child as one's own. 2 choose (a course of action etc.). 3 take over (another's idea etc.). 4 choose as a candidate for office. 5 accept responsibility for the maintenance of (a road etc.). 6 accept or approve (a report, accounts, etc.).  adoption n. [latin: related to *ad-, *opt]
Yobbo  n. (pl. -s) slang = *yob.
Stoma  n. (pl. -s or stomata) 1 minute pore in the epidermis of a leaf. 2 small mouthlike artificial orifice made in the stomach. [greek stoma mouth]
Mêlée  n. (us melee) 1 confused fight, skirmish, or scuffle. 2 muddle. [french: related to *medley]
Cobra  n. Venomous hooded snake of africa and asia. [latin colubra snake]
Elope  v. (-ping) run away to marry secretly.  elopement n. [anglo-french]
Dogma  n. 1 principle, tenet, or system of these, esp. Of a church or political party. 2 arrogant declaration of opinion. [greek, = opinion]
Clime  n. Literary 1 region. 2 climate. [latin: related to *climate]
Quiff  n.  1 man's tuft of hair, brushed upward over the forehead. 2 curl plastered down on the forehead. [origin unknown]
Basso  n. (pl. -s) singer with a bass voice. [italian, = *bass1]
Inure  v. (-ring) 1 (often in passive; foll. By to) accustom (a person) to an esp. Unpleasant thing. 2 law take effect.  inurement n. [anglo-french: related to *in, eure work, from latin opera]
Demon  n. 1 a evil spirit or devil. B personification of evil passion. 2 (often attrib.) Forceful or skilful performer (demon player). 3 cruel person. 4 (also daemon) supernatural being in ancient greece.  demonic adj. [greek daimon deity]
Appro  n. Colloq.  on appro = on approval (see *approval). [abbreviation]
Quoit  n. 1 ring thrown to encircle an iron peg. 2 (in pl.) Game using these. [origin unknown]
Outdo  v. (-doing; 3rd sing. Present -does; past -did; past part. -done) exceed, excel, surpass.
Swizz  n. (also swiz) colloq. 1 something unfair or disappointing. 2 swindle. [origin unknown]
Zebra  n. (pl. Same or -s) black-and-white striped african animal of the family including the ass and horse. [italian or portuguese from congolese]
Ratio  n. (pl. -s) quantitative relation between two similar magnitudes expressed as the number of times one contains the other (in the ratio of three to two). [latin reor rat- reckon]
Evade  v. (-ding) 1 a escape from, avoid, esp. By guile or trickery. B avoid doing (one's duty etc.). C avoid answering (a question). 2 avoid paying (tax). [latin evado escape]
Retch  v. Make a motion of vomiting, esp. Involuntarily and without effect. [old english]
Liter  n. (brit. Litre) metric unit of capacity equal to 1 cubic decimetre (1.76 pints). [greek litra]
Anode  n. Positive electrode in an electrolytic cell etc. [greek anodos way up]
Canto  n. (pl. -s) division of a long poem. [latin cantus: related to *chant]
Parka  n. 1 long usu. Green anorak with fur round the hood. 2 hooded skin jacket worn by eskimos. [aleutian]
Vowel  n. 1 speech-sound made with vibration of the vocal cords but without audible friction. 2 letter(s) representing this, as a, e, i, o, u, aw, ah. [latin: related to *vocal]
Gynae  n. (also gynie) colloq. Gynaecology. [abbreviation]
Butty  n. (pl. -ies) n.engl. Sandwich. [from *butter]
Stela  n. (pl. Stelae) (also stele) archaeol. Upright slab or pillar usu. Inscribed and sculpted, esp. As a gravestone. [latin and greek]
Quota  n. 1 share to be contributed to, or received from, a total. 2 number of goods, people, etc., stipulated or permitted. [latin quotus from quot how many]
Album  n. 1 book for photographs, stamps, etc. 2 a long-playing gramophone record. B set of these. [latin, = blank tablet, from albus white]
Cutis  n. True skin, beneath the epidermis. [latin]
Unman  v. (-nn-) make weak, cowardly, etc.; cause to weep etc.
Islet  n. 1 small island. 2 anat. Structurally distinct portion of tissue. [french diminutive of *isle]
Bract  n. Leaf-like and often brightly coloured part of a plant, growing before the flower. [latin bractea thin sheet]
Spurn  v. Reject with disdain or contempt.  [old english]
Camel  n. 1 long-legged ruminant with one hump (arabian camel) or two humps (bactrian camel). 2 fawn colour. [greek]
Nacho  n. (pl. -s) tortilla chip, usu. Topped with melted cheese and spices etc. [origin uncertain]
Aorta  n. (pl. -s) main artery, giving rise to the arterial network carrying oxygenated blood to the body from the heart.  aortic adj. [greek aeiro raise]
Boult  var. Of *bolt2.
Icing  n. 1 coating of sugar etc. On a cake or biscuit. 2 formation of ice on a ship or aircraft.  icing on the cake inessential though attractive addition or enhancement.
Tonne  n. = *metric ton. [french: related to *ton]
Smite  v. (-ting; past smote; past part. Smitten) 1 archaic or literary a hit. B chastise; defeat. 2 (in passive) affect strongly; seize (smitten with regret; smitten by her beauty). [old english]
Drama  n. 1 play for stage or broadcasting. 2 art of writing, acting, or presenting plays. 3 dramatic event or quality (the drama of the situation). [latin from greek drao do]
Rebut  v. (-tt-) 1 refute or disprove (evidence or a charge). 2 force or turn back; check.  rebuttal n. [anglo-french rebuter: related to *butt1]
Quart  n. Liquid measure equal to a quarter of a gallon; two pints (0.946 litre). [latin quartus fourth]
Talon  n. Claw, esp. Of a bird of prey. [latin talus ankle]
Cliff  n. Steep rock-face, esp. On a coast. [old english]
Gravy  n. (pl. -ies) 1 juices exuding from meat during and after cooking. 2 sauce for food, made from these etc. [perhaps from a misreading of french grané from grain spice, *grain]
Flews  n.pl. Hanging lips of a bloodhound etc. [origin unknown]
Recur  v. (-rr-) 1 occur again; be repeated. 2 (foll. By to) go back in thought or speech. 3 (as recurring adj.) (of a decimal fraction) with the same figure(s) repeated indefinitely (1.66 recurring). [latin curro run]
Loner  n. Person or animal that prefers to be alone.
Maxim  n. General truth or rule of conduct briefly expressed. [french or medieval latin: related to *maximum]
Tulle  n. Soft fine silk etc. Net for veils and dresses. [tulle in france]
Shirt  n. Upper-body garment of cotton etc., usu. Front-opening.  keep one's shirt on colloq. Keep one's temper. Put one's shirt on colloq. Bet all one has on.  shirting n. Shirtless adj. [old english]
Mogul  n. 1 colloq. Important or influential person. 2 (mogul) hist. A mongolian. B (often the great mogul) emperor of delhi in the 16th–19th c. [persian and arabic: related to *mongol]
Breve  n. 1 mus. Note twice the length of a semibreve. 2 mark (  ) indicating a short or unstressed vowel. [var. Of *brief]
Kendo  n. Japanese fencing with two-handed bamboo swords. [japanese, = sword-way]
Swoon  v. & n. Literary faint. [old english]
